Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
dune-cushion-cover,Dune Cushion Cover,"<p>Soft sand tones that settle a room without shouting.</p><p>Made only for your space &mdash; never mass-produced, never repeated. Printed and finished after you order, so no two homes carry the same piece.</p><ul><li>18&times;18 in. cover</li><li>Hidden zipper, insert not included</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Cushion Cover,"home,cushion,home-accessories,minimalist",TRUE,Size,18x18,CK-CUSH-DUNE-18,450,,deny,manual,49.99,,TRUE,TRUE,,1,Dune Cushion Cover,FALSE,Dune Cushion Cover | Chez Kura,"An 18x18 cushion cover in soft sand tones, made only for your space. Never mass-produced.",draft
arche-cushion-cover,Arche Cushion Cover,"<p>A single quiet curve &mdash; the shape of a doorway home.</p><p>Made only for your space &mdash; never mass-produced, never repeated. Printed and finished after you order.</p><ul><li>18&times;18 in. cover</li><li>Hidden zipper, insert not included</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Cushion Cover,"home,cushion,home-accessories,bestseller",TRUE,Size,18x18,CK-CUSH-ARCH-18,450,,deny,manual,49.99,,TRUE,TRUE,,1,Arche Cushion Cover,FALSE,Arche Cushion Cover | Chez Kura,An 18x18 cushion cover with a single quiet curve. Made only for your space.,draft
solene-cushion-cover,Solène Cushion Cover,"<p>Warm clay and light &mdash; the last hour of afternoon sun.</p><p>Made only for your space &mdash; never mass-produced, never repeated.</p><ul><li>18&times;18 in. cover</li><li>Hidden zipper, insert not included</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Cushion Cover,"home,cushion,home-accessories",TRUE,Size,18x18,CK-CUSH-SOLE-18,450,,deny,manual,49.99,,TRUE,TRUE,,1,Solène Cushion Cover,FALSE,Solène Cushion Cover | Chez Kura,An 18x18 cushion cover in warm clay tones. Made only for your space.,draft
brume-wall-art-small,Brume Wall Art — Small Canvas,"<p>The kind of piece that makes a room feel finished.</p><p>Made once, for one home. Yours.</p><ul><li>16&times;16 in. stretched canvas</li><li>Ready to hang</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Wall Art,"home,wall-art,canvas,home-accessories",TRUE,Size,16x16,CK-ART-BRUM-16,900,,deny,manual,69.99,,TRUE,TRUE,,1,Brume Wall Art — Small Canvas,FALSE,"Brume Wall Art, 16x16 Canvas | Chez Kura","A 16x16 canvas made once, for one home. Ready to hang.",draft
terre-wall-art-large,Terre Wall Art — Large Canvas,"<p>A statement piece for the wall that sets the tone of the room.</p><p>Made once, for one home. Yours.</p><ul><li>24&times;36 in. stretched canvas</li><li>Ready to hang</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Wall Art,"home,wall-art,canvas,home-accessories,statement",TRUE,Size,24x36,CK-ART-TERR-2436,2200,,deny,manual,129.99,,TRUE,TRUE,,1,Terre Wall Art — Large Canvas,FALSE,"Terre Wall Art, 24x36 Canvas | Chez Kura","A 24x36 statement canvas made once, for one home. Ready to hang.",draft
ondee-wall-art-small,Ondée Wall Art — Small Canvas,"<p>Quiet movement, like light on a wall in the morning.</p><p>Made once, for one home. Yours.</p><ul><li>16&times;16 in. stretched canvas</li><li>Ready to hang</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Wall Art,"home,wall-art,canvas,home-accessories",TRUE,Size,16x16,CK-ART-ONDE-16,900,,deny,manual,69.99,,TRUE,TRUE,,1,Ondée Wall Art — Small Canvas,FALSE,"Ondée Wall Art, 16x16 Canvas | Chez Kura","A 16x16 canvas made once, for one home. Ready to hang.",draft
lin-accent-rug,Lin Accent Rug,"<p>Underfoot, in every room that needs to feel a little more like home.</p><p>Made only for your space &mdash; never mass-produced, never repeated.</p><ul><li>Accent size</li><li>Non-slip backing</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Rug,"home,rug,home-accessories",TRUE,Size,Accent,CK-RUG-LIN-ACC,1400,,deny,manual,59.99,,TRUE,TRUE,,1,Lin Accent Rug,FALSE,Lin Accent Rug | Chez Kura,"An accent rug made only for your space. Non-slip backing, made to order.",draft
halo-accent-mat,Halo Accent Mat,"<p>A soft landing by the door, the bed, the bath.</p><p>Made only for your space &mdash; never mass-produced, never repeated.</p><ul><li>Accent size</li><li>Non-slip backing</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Rug,"home,rug,mat,home-accessories",TRUE,Size,Accent,CK-RUG-HALO-ACC,1400,,deny,manual,59.99,,TRUE,TRUE,,1,Halo Accent Mat,FALSE,Halo Accent Mat | Chez Kura,"A soft accent mat by the door, the bed, the bath. Made to order.",draft
pet-portrait-canvas,Pet Portrait Canvas,"<p>A piece of them, always in the room with you.</p><p>Send us a photo after checkout and we'll turn it into a piece made only for your home &mdash; because they're part of it too.</p><ul><li>16&times;16 in. stretched canvas</li><li>Ready to hang</li><li>Made by hand from your photo &mdash; allow a few extra days</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Pet Portrait,"pet,pet-portrait,custom,photo-upload",TRUE,Size,16x16,CK-PET-PORT-16,900,,deny,manual,79.99,,TRUE,TRUE,,1,Pet Portrait Canvas,FALSE,"Custom Pet Portrait Canvas, 16x16 | Chez Kura",Send a photo of your pet and we'll make a 16x16 canvas only for your home.,draft
pet-name-blanket,Pet Name Blanket,"<p>Their name, their colours, the warmest corner of the couch.</p><p>Send us a photo and their name after checkout &mdash; we'll make the rest.</p><ul><li>50&times;60 in. sherpa blanket</li><li>Made by hand from your photo &mdash; allow a few extra days</li><li>Made to order &mdash; final sale</li></ul>",Chez Kura,Home & Garden,Pet Blanket,"pet,blanket,custom,photo-upload",TRUE,Size,50x60,CK-PET-BLKT-5060,1600,,deny,manual,89.99,,TRUE,TRUE,,1,Pet Name Blanket,FALSE,"Custom Pet Name Blanket, 50x60 | Chez Kura",A 50x60 sherpa blanket with your pet's photo and name. Made to order.,draft
